place_id,種別,名称,カテゴリ,住所,latitude,longitude,座標ステータス,営業日,営業時間,定休日,朝食向き,おやつ向き,昼食向き,夕食向き,休憩向き,体験・できること,推奨滞在時間_分,Google評価
L001,ランドマーク,下諏訪町役場,行政・公共施設,長野県諏訪郡下諏訪町4613-8,36.0695384,138.0801558,取得済,平日,08:30-17:15,土・日・祝日,,,,,○,行政手続き・相談・情報収集,20-60,
L002,ランドマーク,諏訪大社 下社秋宮,神社・観光名所,長野県諏訪郡下諏訪町5828,36.075394,138.091287,取得済,毎日,00:00-23:59,,,,,,○,参拝・境内散策・写真・歴史,20-60,
L003,ランドマーク,諏訪大社 下社春宮,神社・観光名所,長野県諏訪郡下諏訪町193,36.082083,138.082106,取得済,毎日,00:00-23:59,,,,,,○,参拝・境内散策・写真・歴史,20-60,
L004,ランドマーク,万治の石仏,史跡・観光名所,長野県諏訪郡下諏訪町,36.08292,138.08195,取得済,毎日,00:00-23:59,,,,,,○,石仏を見る・散策・写真,15-30,
R001,飲食店,くるまやラーメン 下諏訪店,ラーメン,長野県諏訪郡下諏訪町,36.0665768,138.0736738,取得済,毎日,11:00-24:00,,,,○,○,,ラーメンを食べる,30-45,
