place_id,名称,おすすめ度,自動提案,おすすめ用途,おすすめ時間帯,対象,除外条件,公開メモ,運営メモ,管理更新日,営業日_override,営業時間_override,定休日_override,朝食向き_override,おやつ向き_override,昼食向き_override,夕食向き_override,休憩向き_override,観光向き_override,買い物向き_override,雨の日向き_override,子ども向き_override,高齢者向き_override,一人向き_override,短時間立寄り向き_override,最短滞在時間_分_override,推奨滞在時間_分_override,最大滞在時間_分_override
L001,下諏訪町役場,2,conditional,行政・START/GOAL,平日,行政利用者,通常の観光候補には出さない,,,2026-08-28,,,,,,,,,no,,,,,,,,,
L003,諏訪大社 下社秋宮,5,promote,観光・参拝,朝・昼・午後,観光客・地元・家族,,,,2026-08-28,,,,,,,,,yes,,,,,,,,,
L004,諏訪大社 下社春宮,5,promote,観光・参拝,朝・昼・午後,観光客・地元・家族,,,,2026-08-28,,,,,,,,,yes,,,,,,,,,
L005,万治の石仏,4,normal,観光・散策,昼・午後,観光客,,,,2026-08-28,,,,,,,,,yes,,,,,,,,,
T001,下諏訪駅,3,conditional,交通・START/GOAL,いつでも,全員,通常の観光候補には出さない,,,2026-08-28,,,,,,,,,no,,,,,,,,,
